engine,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp
rocksdb,ITER,1788182.50,0.370,0,0,0,0,0,0,0,0,235.89,1292.49,0.29,678.56,37.627,3.012,495.3,65.24,1.23,0.00,0.12
tidesdb,SEEK,975147.01,5.127,7.93,10.93,137.80,7.00,13.00,18.00,2.00,1897.00,856.76,1240.66,0.00,0.00,40.530,0.736,655.4,43.95,0.00,0.00,0.00
tidesdb,ITER,6603737.45,0.757,0,0,0,0,0,0,0,0,856.76,1240.66,0.00,0.00,40.530,0.736,655.4,43.95,0.00,0.00,0.00
tidesdb,SEEK,998826.78,5.006,7.70,22.63,293.90,7.00,12.00,18.00,2.00,9419.00,855.46,1240.66,0.00,0.00,38.771,0.747,644.5,43.77,0.00,0.00,0.00
tidesdb,ITER,6781031.02,0.737,0,0,0,0,0,0,0,0,855.46,1240.66,0.00,0.00,38.771,0.747,644.5,43.77,0.00,0.00,0.00
tidesdb,SEEK,991530.94,5.043,7.74,12.30,158.86,7.00,12.00,18.00,2.00,4062.00,855.82,1240.66,0.00,0.00,39.621,0.669,651.7,43.81,0.00,0.00,0.00
tidesdb,ITER,6665306.94,0.750,0,0,0,0,0,0,0,0,855.82,1240.66,0.00,0.00,39.621,0.669,651.7,43.81,0.00,0.00,0.00
rocksdb,SEEK,671909.80,7.441,10.96,12.88,117.48,10.00,20.00,29.00,3.00,12561.00,265.01,1302.70,0.00,0.00,50.620,5.800,620.9,52.98,0.00,0.00,0.00
rocksdb,ITER,4062210.31,1.231,0,0,0,0,0,0,0,0,265.01,1302.70,0.00,0.00,50.620,5.800,620.9,52.98,0.00,0.00,0.00
rocksdb,SEEK,722257.37,6.923,10.55,5.53,52.42,9.00,18.00,27.00,3.00,1721.00,251.64,1302.56,0.00,0.00,49.170,5.393,641.4,53.03,0.00,0.00,0.00
rocksdb,ITER,4300930.98,1.163,0,0,0,0,0,0,0,0,251.64,1302.56,0.00,0.00,49.170,5.393,641.4,53.03,0.00,0.00,0.00
rocksdb,SEEK,680504.50,7.347,10.93,7.90,72.26,10.00,20.00,29.00,3.00,4352.00,269.62,1302.43,0.00,0.00,51.177,5.197,631.8,53.05,0.00,0.00,0.00
rocksdb,ITER,4274753.82,1.170,0,0,0,0,0,0,0,0,269.62,1302.43,0.00,0.00,51.177,5.197,631.8,53.05,0.00,0.00,0.00
tidesdb,SEEK,3432451.08,1.457,1.86,3.60,193.68,2.00,3.00,3.00,1.00,579.00,845.36,1112.64,0.00,0.00,10.327,0.457,431.9,55.31,0.00,0.00,0.00
tidesdb,ITER,6953048.84,0.719,0,0,0,0,0,0,0,0,845.36,1112.64,0.00,0.00,10.327,0.457,431.9,55.31,0.00,0.00,0.00
tidesdb,SEEK,3676603.05,1.360,1.88,3.71,196.94,2.00,3.00,4.00,1.00,896.00,843.35,1112.81,0.00,0.00,10.477,0.516,443.8,55.31,0.00,0.00,0.00
tidesdb,ITER,6916432.89,0.723,0,0,0,0,0,0,0,0,843.35,1112.81,0.00,0.00,10.477,0.516,443.8,55.31,0.00,0.00,0.00
tidesdb,SEEK,3326016.10,1.503,2.16,4.09,189.35,2.00,3.00,4.00,1.00,2121.00,844.36,1112.61,0.00,0.00,11.745,0.580,484.8,55.31,0.00,0.00,0.00
tidesdb,ITER,6981972.55,0.716,0,0,0,0,0,0,0,0,844.36,1112.61,0.00,0.00,11.745,0.580,484.8,55.31,0.00,0.00,0.00
rocksdb,SEEK,1655340.82,3.021,3.91,2.31,59.01,3.00,7.00,11.00,1.00,1025.00,182.11,1292.57,0.00,87.18,23.267,0.590,552.7,87.33,0.00,0.00,0.00
rocksdb,ITER,5223541.46,0.957,0,0,0,0,0,0,0,0,182.11,1292.57,0.00,87.18,23.267,0.590,552.7,87.33,0.00,0.00,0.00
rocksdb,SEEK,1638097.16,3.052,4.19,2.80,66.92,3.00,8.00,11.00,1.00,1768.00,193.80,1292.57,0.01,87.18,25.313,0.643,595.4,87.33,0.00,0.00,0.00
rocksdb,ITER,5224567.59,0.957,0,0,0,0,0,0,0,0,193.80,1292.57,0.01,87.18,25.313,0.643,595.4,87.33,0.00,0.00,0.00
rocksdb,SEEK,1021398.29,4.895,6.07,3.41,56.13,5.00,12.00,15.00,1.00,1089.00,220.07,1356.57,0.04,87.18,34.282,0.524,545.3,87.33,0.00,0.00,0.00
rocksdb,ITER,4404541.26,1.135,0,0,0,0,0,0,0,0,220.07,1356.57,0.04,87.18,34.282,0.524,545.3,87.33,0.00,0.00,0.00
tidesdb,RANGE,1468251.99,0.341,4.99,6.22,124.72,5.00,7.00,8.00,1.00,1528.00,185.62,671.20,0.00,0.00,1.548,1.736,302.5,55.31,0.00,0.00,0.00
tidesdb,ITER,6988403.44,0.715,0,0,0,0,0,0,0,0,185.62,671.20,0.00,0.00,1.548,1.736,302.5,55.31,0.00,0.00,0.00
tidesdb,RANGE,1487435.63,0.336,5.03,5.12,101.64,5.00,7.00,8.00,1.00,554.00,186.16,607.20,0.00,0.00,1.781,1.542,304.1,55.31,0.00,0.00,0.00
tidesdb,ITER,6918586.23,0.723,0,0,0,0,0,0,0,0,186.16,607.20,0.00,0.00,1.781,1.542,304.1,55.31,0.00,0.00,0.00
tidesdb,RANGE,1374668.70,0.364,5.01,5.50,109.75,5.00,8.00,10.00,1.00,477.00,189.12,611.09,0.00,0.00,1.640,1.659,297.6,55.30,0.00,0.00,0.00
tidesdb,ITER,7009270.46,0.713,0,0,0,0,0,0,0,0,189.12,611.09,0.00,0.00,1.640,1.659,297.6,55.30,0.00,0.00,0.00
rocksdb,RANGE,2792219.76,0.179,2.36,7.01,296.85,2.00,3.00,15.00,1.00,3458.00,138.02,1303.22,0.00,46.00,3.554,0.208,277.8,98.26,0.00,0.00,0.00
rocksdb,ITER,4367556.05,1.145,0,0,0,0,0,0,0,0,138.02,1303.22,0.00,46.00,3.554,0.208,277.8,98.26,0.00,0.00,0.00
rocksdb,RANGE,3851101.03,0.130,1.71,3.82,223.09,1.00,3.00,11.00,0.00,2104.00,140.05,1303.27,0.03,48.00,3.134,0.166,259.2,98.27,0.00,0.00,0.00
rocksdb,ITER,4483211.27,1.115,0,0,0,0,0,0,0,0,140.05,1303.27,0.03,48.00,3.134,0.166,259.2,98.27,0.00,0.00,0.00
rocksdb,RANGE,2746935.79,0.182,2.19,3.44,156.83,2.00,3.00,15.00,1.00,970.00,143.00,1303.22,0.01,53.00,3.555,0.195,270.2,98.17,0.00,0.00,0.00
rocksdb,ITER,4259404.55,1.174,0,0,0,0,0,0,0,0,143.00,1303.22,0.01,53.00,3.555,0.195,270.2,98.17,0.00,0.00,0.00
tidesdb,RANGE,1374797.22,0.364,5.17,7.10,137.23,4.00,7.00,21.00,1.00,1018.00,178.97,664.80,0.00,0.00,1.858,1.527,304.3,55.31,0.00,0.00,0.00
tidesdb,ITER,6962168.97,0.718,0,0,0,0,0,0,0,0,178.97,664.80,0.00,0.00,1.858,1.527,304.3,55.31,0.00,0.00,0.00
tidesdb,RANGE,1354367.56,0.369,5.28,6.60,125.07,5.00,7.00,17.00,1.00,460.00,190.28,611.11,0.00,0.00,1.761,1.670,308.9,55.30,0.00,0.00,0.00
tidesdb,ITER,7037743.42,0.710,0,0,0,0,0,0,0,0,190.28,611.11,0.00,0.00,1.761,1.670,308.9,55.30,0.00,0.00,0.00
tidesdb,RANGE,1309905.24,0.382,5.27,6.73,127.60,4.00,8.00,17.00,1.00,470.00,186.29,607.20,0.00,0.00,1.825,1.612,303.9,55.30,0.00,0.00,0.00
tidesdb,ITER,6956850.83,0.719,0,0,0,0,0,0,0,0,186.29,607.20,0.00,0.00,1.825,1.612,303.9,55.30,0.00,0.00,0.00
rocksdb,RANGE,1531980.08,0.326,4.11,8.63,209.67,3.00,5.00,53.00,1.00,939.00,175.16,1303.22,0.00,62.00,4.822,0.266,308.2,98.24,0.00,0.00,0.00
rocksdb,ITER,3869765.37,1.292,0,0,0,0,0,0,0,0,175.16,1303.22,0.00,62.00,4.822,0.266,308.2,98.24,0.00,0.00,0.00
rocksdb,RANGE,2332187.45,0.214,2.81,7.59,270.50,2.00,3.00,42.00,1.00,1669.00,169.16,1303.22,0.00,53.00,3.753,0.257,290.3,98.26,0.00,0.00,0.00
rocksdb,ITER,4396682.79,1.137,0,0,0,0,0,0,0,0,169.16,1303.22,0.00,53.00,3.753,0.257,290.3,98.26,0.00,0.00,0.00
rocksdb,RANGE,2473264.02,0.202,2.83,5.60,197.71,2.00,4.00,33.00,1.00,294.00,168.97,1303.18,0.00,50.00,3.807,0.174,292.8,98.17,0.00,0.00,0.00
rocksdb,ITER,4430393.21,1.129,0,0,0,0,0,0,0,0,168.97,1303.18,0.00,50.00,3.807,0.174,292.8,98.17,0.00,0.00,0.00
tidesdb,RANGE,1461069.80,0.137,4.30,20.49,476.02,3.00,4.00,7.00,1.00,849.00,71.77,599.00,0.00,0.00,0.818,0.348,278.1,22.11,0.00,0.00,0.00
tidesdb,ITER,7409520.49,0.270,0,0,0,0,0,0,0,0,71.77,599.00,0.00,0.00,0.818,0.348,278.1,22.11,0.00,0.00,0.00
tidesdb,RANGE,1567705.27,0.128,4.10,18.15,442.74,3.00,4.00,6.00,1.00,1055.00,71.31,599.00,0.00,0.00,0.745,0.383,272.1,22.11,0.00,0.00,0.00
tidesdb,ITER,7250790.34,0.276,0,0,0,0,0,0,0,0,71.31,599.00,0.00,0.00,0.745,0.383,272.1,22.11,0.00,0.00,0.00
tidesdb,RANGE,1701418.13,0.118,4.10,18.38,448.41,3.00,4.00,6.00,1.00,785.00,71.44,599.00,0.00,0.00,0.728,0.402,278.9,22.12,0.00,0.00,0.00
tidesdb,ITER,7223398.03,0.277,0,0,0,0,0,0,0,0,71.44,599.00,0.00,0.00,0.728,0.402,278.9,22.12,0.00,0.00,0.00
rocksdb,RANGE,1818545.53,0.110,3.37,24.71,733.75,1.00,3.00,4.00,1.00,831.00,127.48,1300.94,0.00,25.99,1.628,0.128,298.1,42.02,0.00,0.00,0.00
rocksdb,ITER,4265483.71,0.469,0,0,0,0,0,0,0,0,127.48,1300.94,0.00,25.99,1.628,0.128,298.1,42.02,0.00,0.00,0.00
rocksdb,RANGE,1320349.89,0.151,4.44,31.52,710.43,2.00,4.00,5.00,1.00,1259.00,125.91,1298.94,0.00,24.00,1.908,0.112,319.7,42.02,0.00,0.00,0.00
rocksdb,ITER,4268724.76,0.469,0,0,0,0,0,0,0,0,125.91,1298.94,0.00,24.00,1.908,0.112,319.7,42.02,0.00,0.00,0.00
rocksdb,RANGE,1959401.21,0.102,3.03,20.16,665.81,1.00,3.00,4.00,1.00,710.00,125.64,1299.05,0.01,23.00,1.535,0.068,296.0,42.02,0.00,0.00,0.00
rocksdb,ITER,4654323.40,0.430,0,0,0,0,0,0,0,0,125.64,1299.05,0.01,23.00,1.535,0.068,296.0,42.02,0.00,0.00,0.00
tidesdb,DELETE,2635575.31,1.897,2919.15,1078.68,36.95,2816.00,4795.00,5772.00,837.00,9393.00,813.61,1112.65,0.00,100.21,15.424,1.039,409.4,0.00,0.18,0.00,0.00
tidesdb,ITER,2354683.09,2.123,0,0,0,0,0,0,0,0,813.61,1112.65,0.00,100.21,15.424,1.039,409.4,0.00,0.18,0.00,0.00
tidesdb,DELETE,2675752.81,1.869,2851.40,1344.17,47.14,2676.00,4766.00,5706.00,755.00,57459.00,813.55,1112.65,0.00,100.21,15.221,0.936,401.3,0.00,0.18,0.00,0.00
tidesdb,ITER,2317918.25,2.157,0,0,0,0,0,0,0,0,813.55,1112.65,0.00,100.21,15.221,0.936,401.3,0.00,0.18,0.00,0.00
tidesdb,DELETE,2794495.07,1.789,2746.24,1027.76,37.42,2598.00,4706.00,5643.00,808.00,7463.00,813.37,1112.65,0.00,100.21,14.814,0.823,397.2,0.00,0.18,0.00,0.00
tidesdb,ITER,2328973.03,2.147,0,0,0,0,0,0,0,0,813.37,1112.65,0.00,100.21,14.814,0.823,397.2,0.00,0.18,0.00,0.00
rocksdb,DELETE,2712657.42,1.843,2944.98,1567.58,53.23,2803.00,4440.00,5337.00,657.00,36379.00,183.69,1294.51,0.02,157.52,11.470,0.606,327.1,65.86,0.28,0.00,0.00
rocksdb,DELETE,2635508.63,1.897,3032.40,2908.20,95.90,2822.00,4183.00,5393.00,571.00,64256.00,173.10,1294.91,0.09,157.61,11.565,0.455,324.4,65.70,0.28,0.00,0.00
rocksdb,DELETE,2725732.94,1.834,2931.76,1298.12,44.28,2767.00,4391.00,5960.00,689.00,29108.00,157.22,1294.58,0.02,157.58,11.695,0.497,334.3,65.32,0.28,0.00,0.00
tidesdb,PUT,6388996.61,1.565,1200.57,397.79,33.13,1099.00,1889.00,2457.00,583.00,5382.00,2479.12,2890.37,0.04,1205.97,13.475,2.158,532.8,110.65,1.09,0.00,0.10
tidesdb,ITER,7311507.51,1.368,0,0,0,0,0,0,0,0,2479.12,2890.37,0.04,1205.97,13.475,2.158,532.8,110.65,1.09,0.00,0.10
tidesdb,RANGE,37087.04,0.270,202.53,61.75,30.49,187.00,329.00,379.00,118.00,1338.00,48.73,613.69,0.00,0.00,3.412,0.086,201.4,110.65,0.00,0.00,0.00
tidesdb,ITER,6819570.53,1.466,0,0,0,0,0,0,0,0,48.73,613.69,0.00,0.00,3.412,0.086,201.4,110.65,0.00,0.00,0.00
tidesdb,PUT,6317103.43,1.583,1212.86,383.11,31.59,1121.00,1899.00,2369.00,612.00,6450.00,2478.83,2896.90,0.03,1207.80,13.707,2.090,534.7,110.65,1.09,0.00,0.10
tidesdb,ITER,7298460.32,1.370,0,0,0,0,0,0,0,0,2478.83,2896.90,0.03,1207.80,13.707,2.090,534.7,110.65,1.09,0.00,0.10
tidesdb,RANGE,30445.29,0.328,206.56,72.14,34.93,179.00,352.00,380.00,117.00,772.00,48.74,613.98,0.00,0.00,3.427,0.078,198.8,110.65,0.00,0.00,0.00
tidesdb,ITER,6974449.11,1.434,0,0,0,0,0,0,0,0,48.74,613.98,0.00,0.00,3.427,0.078,198.8,110.65,0.00,0.00,0.00
tidesdb,PUT,6110870.75,1.636,1264.93,416.87,32.96,1172.00,1918.00,2533.00,563.00,6341.00,2478.58,2867.47,0.01,1199.50,13.828,2.088,530.4,110.65,1.08,0.00,0.10
tidesdb,ITER,7337774.64,1.363,0,0,0,0,0,0,0,0,2478.58,2867.47,0.01,1199.50,13.828,2.088,530.4,110.65,1.08,0.00,0.10
tidesdb,RANGE,39524.29,0.253,187.26,68.62,36.65,151.00,334.00,357.00,116.00,715.00,46.47,612.69,0.00,0.00,3.206,0.093,197.1,110.65,0.00,0.00,0.00
tidesdb,ITER,7041370.87,1.420,0,0,0,0,0,0,0,0,46.47,612.69,0.00,0.00,3.206,0.093,197.1,110.65,0.00,0.00,0.00
rocksdb,PUT,1955678.08,5.113,4089.38,12970.24,317.17,3292.00,4677.00,8003.00,2042.00,400020.00,195.07,1293.59,0.81,1631.23,18.685,2.235,276.1,204.64,1.47,0.00,0.18
rocksdb,ITER,4065121.62,2.460,0,0,0,0,0,0,0,0,195.07,1293.59,0.81,1631.23,18.685,2.235,276.1,204.64,1.47,0.00,0.18
rocksdb,RANGE,32427.63,0.308,177.20,78.40,44.24,138.00,357.00,371.00,128.00,627.00,134.85,1312.89,0.04,90.32,5.913,0.283,254.2,196.54,0.00,0.00,0.00
rocksdb,ITER,4697947.80,2.129,0,0,0,0,0,0,0,0,134.85,1312.89,0.04,90.32,5.913,0.283,254.2,196.54,0.00,0.00,0.00
rocksdb,PUT,2137191.45,4.679,3741.85,6727.32,179.79,3264.00,4624.00,6696.00,2139.00,197284.00,251.98,1293.72,0.75,1614.54,18.300,2.105,296.9,226.38,1.46,0.00,0.20
rocksdb,ITER,4564288.46,2.191,0,0,0,0,0,0,0,0,251.98,1293.72,0.75,1614.54,18.300,2.105,296.9,226.38,1.46,0.00,0.20
rocksdb,RANGE,35929.86,0.278,165.90,74.17,44.71,132.00,345.00,364.00,126.00,1271.00,100.87,1314.54,0.00,0.00,3.610,0.131,158.4,184.59,0.00,0.00,0.00
rocksdb,ITER,4801662.53,2.083,0,0,0,0,0,0,0,0,100.87,1314.54,0.00,0.00,3.610,0.131,158.4,184.59,0.00,0.00,0.00
rocksdb,PUT,2132252.99,4.690,3750.66,4339.87,115.71,3332.00,4845.00,6425.00,2166.00,110905.00,271.31,1293.59,0.79,1581.93,18.045,2.009,285.8,231.24,1.43,0.00,0.21
rocksdb,ITER,4327870.84,2.311,0,0,0,0,0,0,0,0,271.31,1293.59,0.79,1581.93,18.045,2.009,285.8,231.24,1.43,0.00,0.21
rocksdb,RANGE,30232.40,0.331,199.47,95.63,47.94,140.00,369.00,383.00,127.00,884.00,134.48,1312.85,0.00,92.32,6.325,0.259,259.7,191.30,0.00,0.00,0.00
rocksdb,ITER,4536468.21,2.204,0,0,0,0,0,0,0,0,134.48,1312.85,0.00,92.32,6.325,0.259,259.7,191.30,0.00,0.00,0.00
tidesdb,PUT,2002042.88,4.995,3857.21,1427.33,37.00,3817.00,6318.00,7262.00,726.00,12955.00,2120.20,2894.84,0.02,852.04,44.801,1.786,575.1,86.08,1.12,0.00,0.11
tidesdb,ITER,3221449.18,3.104,0,0,0,0,0,0,0,0,2120.20,2894.84,0.02,852.04,44.801,1.786,575.1,86.08,1.12,0.00,0.11
tidesdb,PUT,1974752.01,5.064,3795.15,1702.59,44.86,3576.00,6625.00,9913.00,582.00,17108.00,2119.90,2907.33,0.03,854.93,44.591,1.688,567.6,86.33,1.12,0.00,0.11
tidesdb,ITER,3238811.85,3.088,0,0,0,0,0,0,0,0,2119.90,2907.33,0.03,854.93,44.591,1.688,567.6,86.33,1.12,0.00,0.11
tidesdb,PUT,1888671.15,5.295,4010.23,1487.12,37.08,3933.00,6560.00,7561.00,643.00,9834.00,2127.53,3092.59,0.01,897.32,49.788,1.850,592.9,87.35,1.18,0.00,0.11
tidesdb,ITER,2929881.78,3.413,0,0,0,0,0,0,0,0,2127.53,3092.59,0.01,897.32,49.788,1.850,592.9,87.35,1.18,0.00,0.11
rocksdb,PUT,1503590.27,6.651,5318.15,16294.75,306.40,4538.00,6700.00,8254.00,2254.00,423176.00,317.26,1357.85,0.32,1035.05,23.057,1.661,271.6,115.10,1.36,0.00,0.15
rocksdb,ITER,4081057.97,2.450,0,0,0,0,0,0,0,0,317.26,1357.85,0.32,1035.05,23.057,1.661,271.6,115.10,1.36,0.00,0.15
rocksdb,PUT,1718895.60,5.818,4652.64,1096.55,23.57,4539.00,6574.00,8445.00,2339.00,12006.00,293.42,1357.85,0.39,1041.14,23.246,1.599,298.2,104.85,1.36,0.00,0.14
rocksdb,ITER,3979939.51,2.513,0,0,0,0,0,0,0,0,293.42,1357.85,0.39,1041.14,23.246,1.599,298.2,104.85,1.36,0.00,0.14
rocksdb,PUT,1623899.12,6.158,4924.23,1468.39,29.82,4683.00,7350.00,9996.00,2276.00,23256.00,300.13,1357.85,0.33,1030.95,24.145,1.723,305.8,112.50,1.35,0.00,0.15
rocksdb,ITER,4349314.31,2.299,0,0,0,0,0,0,0,0,300.13,1357.85,0.33,1030.95,24.145,1.723,305.8,112.50,1.35,0.00,0.15
tidesdb,PUT,801037.18,2.497,9869.92,1953.72,19.79,9976.00,12951.00,14648.00,3923.00,18213.00,2231.12,2781.99,0.04,2302.07,16.761,6.963,618.0,621.16,1.16,0.00,0.31
tidesdb,ITER,1491385.39,1.341,0,0,0,0,0,0,0,0,2231.12,2781.99,0.04,2302.07,16.761,6.963,618.0,621.16,1.16,0.00,0.31
tidesdb,PUT,790721.67,2.529,10017.29,3430.81,34.25,9631.00,13303.00,25542.00,4337.00,47668.00,2228.17,2726.47,0.12,2155.16,15.359,6.238,639.3,580.07,1.09,0.00,0.29
tidesdb,ITER,2357998.39,0.848,0,0,0,0,0,0,0,0,2228.17,2726.47,0.12,2155.16,15.359,6.238,639.3,580.07,1.09,0.00,0.29
tidesdb,PUT,811045.79,2.466,9731.59,1767.34,18.16,9742.00,12537.00,14219.00,4778.00,17328.00,2230.44,2725.84,0.07,2150.25,15.676,6.119,653.7,580.10,1.08,0.00,0.29
tidesdb,ITER,2305395.78,0.868,0,0,0,0,0,0,0,0,2230.44,2725.84,0.07,2150.25,15.676,6.119,653.7,580.10,1.08,0.00,0.29
rocksdb,PUT,527858.25,3.789,15132.18,10133.25,66.96,13833.00,19945.00,33835.00,6001.00,167603.00,274.68,1293.85,0.34,2469.73,11.204,2.607,250.9,215.60,1.25,0.00,0.11
rocksdb,ITER,1166680.08,1.714,0,0,0,0,0,0,0,0,274.68,1293.85,0.34,2469.73,11.204,2.607,250.9,215.60,1.25,0.00,0.11
rocksdb,PUT,499860.16,4.001,15981.27,13743.09,85.99,13527.00,22096.00,90902.00,9456.00,152645.00,294.55,1293.75,0.28,2506.65,11.532,2.677,243.8,215.58,1.26,0.00,0.11
rocksdb,ITER,1094314.60,1.828,0,0,0,0,0,0,0,0,294.55,1293.75,0.28,2506.65,11.532,2.677,243.8,215.58,1.26,0.00,0.11
rocksdb,PUT,496980.47,4.024,16073.28,8438.39,52.50,14535.00,21821.00,73905.00,7250.00,106991.00,276.55,1295.00,0.29,2507.07,12.215,2.807,258.2,215.47,1.26,0.00,0.11
rocksdb,ITER,1116033.44,1.792,0,0,0,0,0,0,0,0,276.55,1295.00,0.29,2507.07,12.215,2.807,258.2,215.47,1.26,0.00,0.11
tidesdb,PUT,259107.90,1.930,30309.33,6745.99,22.26,29233.00,44544.00,57687.00,8958.00,65147.00,2116.22,2578.20,0.06,2170.01,8.954,6.771,651.6,910.50,1.05,0.00,0.44
tidesdb,ITER,1035179.54,0.483,0,0,0,0,0,0,0,0,2116.22,2578.20,0.06,2170.01,8.954,6.771,651.6,910.50,1.05,0.00,0.44
tidesdb,PUT,256770.39,1.947,30076.50,6641.14,22.08,29467.00,42042.00,54930.00,7876.00,61411.00,2116.76,2578.62,0.05,2150.08,9.027,6.684,596.9,150.95,1.04,0.00,0.07
tidesdb,ITER,730846.70,0.684,0,0,0,0,0,0,0,0,2116.76,2578.62,0.05,2150.08,9.027,6.684,596.9,150.95,1.04,0.00,0.07
tidesdb,PUT,259855.00,1.924,30244.10,6607.27,21.85,29257.00,42614.00,57851.00,7270.00,64874.00,2085.02,2386.61,0.03,2149.18,9.051,6.833,628.1,150.94,1.04,0.00,0.07
tidesdb,ITER,827873.51,0.604,0,0,0,0,0,0,0,0,2085.02,2386.61,0.03,2149.18,9.051,6.833,628.1,150.94,1.04,0.00,0.07
rocksdb,PUT,183856.79,2.720,43051.58,21144.07,49.11,37360.00,91923.00,144024.00,16154.00,146978.00,632.25,1293.77,0.30,2446.45,8.393,2.545,259.8,174.37,1.18,0.00,0.08
rocksdb,ITER,336082.94,1.488,0,0,0,0,0,0,0,0,632.25,1293.77,0.30,2446.45,8.393,2.545,259.8,174.37,1.18,0.00,0.08
rocksdb,PUT,193701.15,2.581,40862.23,12385.02,30.31,38487.00,53822.00,127638.00,17378.00,129099.00,767.36,1534.99,0.23,2444.43,8.486,2.730,284.6,174.36,1.18,0.00,0.08
rocksdb,ITER,368466.08,1.357,0,0,0,0,0,0,0,0,767.36,1534.99,0.23,2444.43,8.486,2.730,284.6,174.36,1.18,0.00,0.08
rocksdb,PUT,156445.36,3.196,50613.73,45124.48,89.15,37918.00,125196.00,325148.00,13866.00,328665.00,755.34,1423.79,0.26,2480.11,8.632,2.641,247.0,172.74,1.20,0.00,0.08
rocksdb,ITER,365391.30,1.368,0,0,0,0,0,0,0,0,755.34,1423.79,0.26,2480.11,8.632,2.641,247.0,172.74,1.20,0.00,0.08
tidesdb,PUT,78554.78,1.273,94969.66,26323.21,27.72,95995.00,133695.00,160742.00,21509.00,162911.00,1400.14,1682.64,0.03,1620.94,4.882,4.817,649.2,34.97,1.02,0.00,0.02
tidesdb,ITER,453751.39,0.220,0,0,0,0,0,0,0,0,1400.14,1682.64,0.03,1620.94,4.882,4.817,649.2,34.97,1.02,0.00,0.02
tidesdb,PUT,79966.73,1.251,93970.58,29288.69,31.17,97050.00,142780.00,168423.00,18745.00,169955.00,1442.39,1682.64,0.02,1621.05,4.874,4.758,659.2,34.96,1.02,0.00,0.02
tidesdb,ITER,476290.27,0.210,0,0,0,0,0,0,0,0,1442.39,1682.64,0.02,1621.05,4.874,4.758,659.2,34.96,1.02,0.00,0.02
tidesdb,PUT,79461.06,1.258,94141.55,27058.78,28.74,95769.00,131067.00,163632.00,19394.00,169374.00,1474.84,1746.64,0.02,1621.40,4.803,4.627,640.2,34.96,1.02,0.00,0.02
tidesdb,ITER,467392.37,0.214,0,0,0,0,0,0,0,0,1474.84,1746.64,0.02,1621.40,4.803,4.627,640.2,34.96,1.02,0.00,0.02
rocksdb,PUT,62651.66,1.596,121135.18,33680.25,27.80,109248.00,191050.00,202997.00,54541.00,207058.00,372.50,1314.89,0.08,1699.75,4.366,1.621,294.9,98.42,1.07,0.00,0.06
rocksdb,ITER,233568.46,0.428,0,0,0,0,0,0,0,0,372.50,1314.89,0.08,1699.75,4.366,1.621,294.9,98.42,1.07,0.00,0.06
rocksdb,PUT,53929.58,1.854,141137.92,91801.75,65.04,110572.00,405240.00,498681.00,53349.00,503840.00,401.36,1326.71,0.08,1700.72,4.300,1.613,260.3,98.47,1.07,0.00,0.06
rocksdb,ITER,239438.37,0.418,0,0,0,0,0,0,0,0,401.36,1326.71,0.08,1700.72,4.300,1.613,260.3,98.47,1.07,0.00,0.06
rocksdb,PUT,67933.12,1.472,111807.08,18125.17,16.21,107555.00,158488.00,159439.00,54605.00,166612.00,377.66,1294.70,0.03,1681.03,3.943,1.587,297.2,98.47,1.06,0.00,0.06
rocksdb,ITER,258173.78,0.387,0,0,0,0,0,0,0,0,377.66,1294.70,0.03,1681.03,3.943,1.587,297.2,98.47,1.06,0.00,0.06
tidesdb,PUT,958629.85,2.086,7.92,32.44,409.66,7.00,12.00,17.00,1.00,24262.00,361.92,715.14,0.02,279.52,8.387,9.790,617.9,22.12,1.26,0.00,0.10
tidesdb,ITER,2897975.33,0.690,0,0,0,0,0,0,0,0,361.92,715.14,0.02,279.52,8.387,9.790,617.9,22.12,1.26,0.00,0.10
tidesdb,PUT,979192.17,2.042,7.73,26.32,340.28,7.00,12.00,17.00,1.00,26597.00,367.51,717.00,0.02,280.12,8.290,9.669,621.7,22.25,1.27,0.00,0.10
tidesdb,ITER,2935680.70,0.681,0,0,0,0,0,0,0,0,367.51,717.00,0.02,280.12,8.290,9.669,621.7,22.25,1.27,0.00,0.10
tidesdb,PUT,984655.62,2.031,7.76,28.90,372.45,7.00,12.00,17.00,1.00,26117.00,360.90,715.25,0.00,279.59,8.207,9.623,621.7,22.16,1.26,0.00,0.10
tidesdb,ITER,2983458.22,0.670,0,0,0,0,0,0,0,0,360.90,715.25,0.00,279.59,8.207,9.623,621.7,22.16,1.26,0.00,0.10
rocksdb,PUT,666581.12,3.000,11.67,25.55,218.96,11.00,17.00,24.00,3.00,8804.00,160.79,1293.67,0.22,276.23,23.467,2.546,693.8,39.38,1.25,0.00,0.18
rocksdb,ITER,3462957.61,0.578,0,0,0,0,0,0,0,0,160.79,1293.67,0.22,276.23,23.467,2.546,693.8,39.38,1.25,0.00,0.18
rocksdb,PUT,675184.80,2.962,11.52,23.07,200.21,11.00,17.00,24.00,3.00,7912.00,193.07,1293.67,0.18,274.71,22.549,2.995,697.7,36.24,1.24,0.00,0.16
rocksdb,ITER,3712262.53,0.539,0,0,0,0,0,0,0,0,193.07,1293.67,0.18,274.71,22.549,2.995,697.7,36.24,1.24,0.00,0.16
