engine,time_s,threads,tps,qps,qps_read,qps_write,qps_other,lat95_ms,err_s
rocksdb,5,8,767.61,15382.66,10768.98,3076.85,1536.83,33.12,0.00
rocksdb,10,8,603.21,12048.34,8435.10,2406.83,1206.41,33.12,0.00
rocksdb,15,8,1225.59,24514.83,17161.28,4902.37,2451.18,12.75,0.00
rocksdb,20,8,1215.01,24303.73,17013.69,4860.03,2430.01,12.75,0.00
rocksdb,25,8,1405.38,28102.66,19670.36,5621.53,2810.77,11.45,0.00
rocksdb,30,8,1758.01,35163.28,24615.60,7031.66,3516.03,8.28,0.00
rocksdb,35,8,2004.58,40086.62,28058.93,8018.72,4008.96,7.70,0.00
rocksdb,40,8,1797.21,35946.19,25161.53,7190.04,3594.62,7.98,0.00
rocksdb,45,8,386.81,7750.30,5424.67,1552.02,773.61,24.38,0.00
rocksdb,50,8,4155.78,83104.32,58176.06,16616.70,8311.55,2.30,0.00
rocksdb,55,8,4139.40,82789.95,57953.37,16557.79,8278.80,2.43,0.00
rocksdb,60,8,3917.51,78346.31,54841.48,15669.82,7835.01,2.66,0.00
tidesdb,5,8,3417.28,68361.88,47856.38,13669.54,6835.97,2.81,0.00
tidesdb,10,8,4080.91,81613.64,57128.37,16323.25,8162.02,2.48,0.00
tidesdb,15,8,3780.20,75610.26,52928.64,15121.21,7560.41,2.61,0.00
tidesdb,20,8,3598.80,71974.18,50381.19,14395.40,7197.60,2.81,0.00
tidesdb,25,8,3461.38,69227.68,48459.97,13844.94,6922.77,2.97,0.00
tidesdb,30,8,3563.82,71278.90,49895.75,14255.50,7127.65,3.25,0.00
tidesdb,35,8,3307.80,66153.90,46306.53,13231.78,6615.59,3.43,0.00
tidesdb,40,8,3301.19,66023.45,46217.09,13203.97,6602.38,3.75,0.00
tidesdb,45,8,3042.01,60842.15,42589.91,12168.23,6084.02,3.96,0.00
tidesdb,50,8,3183.99,63680.26,44575.90,12736.37,6367.99,4.10,0.00
tidesdb,55,8,2983.01,59659.18,41761.73,11931.44,5966.02,4.25,0.00
tidesdb,60,8,3052.37,61047.47,42732.83,12209.89,6104.75,4.49,0.00
