engine,test_name,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp,workload,pattern,threads,num_operations,batch_size,key_size,value_size,range_size,sync_enabled
tidesdb,mimalloc_churn_small_t1,PUT,303781.79,16.459,3.12,176.60,5654.95,3.00,4.00,7.00,1.00,367598.00,548.64,958.61,0.00,547.15,13.891,7.254,119.0,34.35,1.43,0.00,0.09,write,random,1,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t1,ITER,5033290.18,0.993,,,,,,,,548.64,958.61,0.00,547.15,13.891,7.254,119.0,34.35,1.43,0.00,0.09,write,random,1,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t4,PUT,776481.55,6.439,4.90,61.14,1248.35,4.00,8.00,11.00,1.00,126538.00,658.90,1179.66,0.00,580.33,18.357,13.246,396.1,53.46,1.52,0.00,0.14,write,random,4,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t4,ITER,4260359.06,1.174,,,,,,,,658.90,1179.66,0.00,580.33,18.357,13.246,396.1,53.46,1.52,0.00,0.14,write,random,4,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t8,PUT,1030194.38,4.853,7.36,33.00,448.15,7.00,11.00,13.00,1.00,52532.00,670.55,1539.17,0.00,561.64,18.545,25.298,676.0,56.24,1.47,0.00,0.15,write,random,8,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t8,ITER,4020662.99,1.244,,,,,,,,670.55,1539.17,0.00,561.64,18.545,25.298,676.0,56.24,1.47,0.00,0.15,write,random,8,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t16,PUT,830949.34,6.017,18.83,113.96,605.24,12.00,18.00,33.00,1.00,32554.00,664.77,1543.70,0.00,564.32,22.106,48.109,901.6,58.16,1.48,0.00,0.15,write,random,16,5000000,1,16,64,100,0
tidesdb,mimalloc_churn_small_t16,ITER,3679787.81,1.359,,,,,,,,664.77,1543.70,0.00,564.32,22.106,48.109,901.6,58.16,1.48,0.00,0.15,write,random,16,5000000,1,16,64,100,0
tidesdb,mimalloc_contention_t1,PUT,718037.36,6.963,139.21,151.44,108.79,123.00,164.00,1032.00,51.00,3538.00,493.94,871.85,0.00,637.42,10.548,0.704,142.0,39.35,1.15,0.00,0.07,write,random,1,5000000,100,16,100,100,0
tidesdb,mimalloc_contention_t1,ITER,5238333.71,0.955,,,,,,,,493.94,871.85,0.00,637.42,10.548,0.704,142.0,39.35,1.15,0.00,0.07,write,random,1,5000000,100,16,100,100,0
