workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
scan	rocksdb 11.8.1	1		1	range	25961	2310144	2375680	2736128	3579911	0.000	0.000	432.7	432.7
scan	rocksdb 11.8.1	2		1	range	47573	2539520	2605056	2932736	3735900	0.000	0.000	792.8	792.8
scan	rocksdb 11.8.1	4		1	range	83126	2899968	2965504	3031040	4007768	0.000	0.000	1385.3	1385.3
scan	rocksdb 11.8.1	8		1	range	127829	3784704	3915776	4014080	4484757	0.000	0.000	2130.3	2130.3
scan	rocksdb 11.8.1	16		1	range	108368	7897088	13303808	15663104	22886637	0.000	0.000	1805.8	1805.8
