engine,phase,elapsed_s,bytes,mb
rocksdb,prepare,0.0,78323712,74.7
rocksdb,prepare,3.0,571813888,545.3
rocksdb,prepare,6.1,829759488,791.3
rocksdb,prepare,9.2,1076502528,1026.6
rocksdb,prepare,12.2,1157132288,1103.5
rocksdb,prepare,15.2,1414807552,1349.3
rocksdb,prepare,18.2,1488904192,1419.9
rocksdb,prepare,21.3,1582301184,1509.0
rocksdb,prepare,24.4,1765437440,1683.7
rocksdb,prepare,27.7,1926701056,1837.4
rocksdb,prepare,30.7,2062671872,1967.1
rocksdb,prepare,33.7,2109837312,2012.1
rocksdb,prepare,36.7,2197278720,2095.5
rocksdb,prepare,39.7,2271084544,2165.9
rocksdb,prepare,42.7,2412896256,2301.1
rocksdb,prepare,45.8,2850156544,2718.1
rocksdb,prepare,48.8,2553327616,2435.0
rocksdb,prepare,51.8,2801053696,2671.3
rocksdb,prepare,55.2,2874871808,2741.7
rocksdb,prepare,58.2,3010850816,2871.4
rocksdb,prepare,61.2,3078844416,2936.2
rocksdb,prepare,64.2,3056955392,2915.3
rocksdb,prepare,67.4,3137720320,2992.4
rocksdb,prepare,70.5,3286339584,3134.1
rocksdb,prepare,73.5,3422314496,3263.8
rocksdb,prepare,76.6,3490308096,3328.6
rocksdb,prepare,79.6,3248025600,3097.6
rocksdb,prepare,82.8,3482116096,3320.8
rocksdb,prepare,85.8,3630731264,3462.5
rocksdb,prepare,88.8,3766714368,3592.2
rocksdb,prepare,91.9,3902689280,3721.9
rocksdb,prepare,94.9,3752693760,3578.8
rocksdb,prepare,98.2,3907129344,3726.1
rocksdb,prepare,101.2,4111093760,3920.6
rocksdb,prepare,104.2,4247072768,4050.3
rocksdb,prepare,107.2,4090273792,3900.8
rocksdb,prepare,110.2,4258336768,4061.1
rocksdb,prepare,113.2,4387500032,4184.2
rocksdb,prepare,116.2,4523479040,4313.9
rocksdb,prepare,119.3,4727447552,4508.4
rocksdb,prepare,122.3,4434800640,4229.4
rocksdb,prepare,125.3,4602867712,4389.6
rocksdb,prepare,128.3,4800016384,4577.7
rocksdb,prepare,131.3,4935999488,4707.3
rocksdb,prepare,134.4,5139963904,4901.9
rocksdb,prepare,137.4,4779204608,4557.8
rocksdb,prepare,140.5,4940447744,4711.6
rocksdb,prepare,143.5,5076418560,4841.2
rocksdb,prepare,146.5,5280387072,5035.8
rocksdb,prepare,149.5,5416370176,5165.5
rocksdb,prepare,152.6,4970115072,4739.9
rocksdb,prepare,155.6,5284847616,5040.0
rocksdb,prepare,158.6,5420826624,5169.7
rocksdb,prepare,161.6,5624791040,5364.2
rocksdb,prepare,164.6,5760765952,5493.9
rocksdb,prepare,167.6,5964734464,5688.4
rocksdb,prepare,170.6,5474942976,5221.3
rocksdb,prepare,173.7,5548761088,5291.7
rocksdb,prepare,176.7,5765365760,5498.3
rocksdb,prepare,179.7,5901336576,5628.0
rocksdb,prepare,182.7,6037319680,5757.6
rocksdb,prepare,185.7,6173294592,5887.3
rocksdb,prepare,188.7,6377263104,6081.8
rocksdb,prepare,191.7,5886357504,5613.7
rocksdb,prepare,194.8,1775468544,1693.2
rocksdb,prepare,197.8,1814368256,1730.3
rocksdb,prepare,200.9,2116046848,2018.0
rocksdb,prepare,203.9,2180800512,2079.8
rocksdb,prepare,206.9,2380673024,2270.4
