engine,time_s,threads,tps,qps,qps_read,qps_write,qps_other,lat95_ms,err_s
rocksdb,5,8,316.70,6350.80,4449.00,1266.80,635.00,33.72,0.00
rocksdb,10,8,325.02,6501.36,4551.26,1300.07,650.04,33.12,0.00
rocksdb,15,8,331.21,6623.93,4636.69,1324.83,662.41,32.53,0.00
rocksdb,20,8,328.39,6570.03,4599.68,1313.57,656.78,32.53,0.00
rocksdb,25,8,329.00,6579.43,4605.02,1316.41,658.00,32.53,0.00
rocksdb,30,8,335.20,6703.14,4692.16,1340.59,670.39,31.94,0.00
rocksdb,35,8,334.60,6690.42,4682.62,1338.60,669.20,31.94,0.00
rocksdb,40,8,333.60,6669.81,4668.60,1334.00,667.20,32.53,0.00
rocksdb,45,8,333.40,6671.88,4671.25,1333.82,666.81,32.53,0.00
rocksdb,50,8,334.60,6691.30,4683.27,1338.82,669.21,31.94,0.00
rocksdb,55,8,337.60,6752.99,4727.79,1350.00,675.20,31.37,0.00
rocksdb,60,8,335.80,6710.76,4696.17,1342.99,671.60,31.94,0.00
rocksdb,65,8,335.20,6707.50,4696.13,1340.98,670.39,31.94,0.00
rocksdb,70,8,331.60,6634.76,4644.97,1326.59,663.20,32.53,0.00
rocksdb,75,8,332.41,6646.16,4651.91,1329.43,664.82,31.94,0.00
rocksdb,80,8,333.00,6662.77,4664.78,1331.99,666.00,32.53,0.00
rocksdb,85,8,338.20,6759.10,4730.07,1352.62,676.41,31.37,0.00
rocksdb,90,8,337.80,6757.19,4729.79,1351.80,675.60,31.94,0.00
rocksdb,95,8,337.60,6754.39,4729.39,1349.80,675.20,31.94,0.00
rocksdb,100,8,337.80,6752.39,4725.59,1351.20,675.60,31.37,0.00
rocksdb,105,8,333.00,6660.40,4662.40,1332.00,666.00,31.94,0.00
rocksdb,110,8,339.39,6788.37,4752.04,1357.55,678.78,31.37,0.00
rocksdb,115,8,338.41,6768.64,4737.97,1353.85,676.82,31.94,0.00
rocksdb,120,8,339.59,6786.85,4749.50,1358.17,679.19,31.37,0.00
tidesdb,5,8,2918.24,58379.29,40868.23,11672.98,5838.09,3.68,0.00
tidesdb,10,8,2954.05,59085.81,41360.51,11817.20,5908.10,3.62,0.00
tidesdb,15,8,2956.21,59120.47,41383.39,11824.65,5912.43,3.62,0.00
tidesdb,20,8,2747.61,54953.48,38468.60,10989.66,5495.23,3.68,0.00
tidesdb,25,8,2784.15,55684.66,38979.34,11137.01,5568.31,3.96,0.00
tidesdb,30,8,2602.86,52057.22,36440.26,10411.24,5205.72,3.96,0.00
tidesdb,35,8,2309.62,46184.58,32327.06,9238.28,4619.24,4.41,0.00
tidesdb,40,8,2105.11,42109.06,29477.98,8420.85,4210.23,4.82,0.00
tidesdb,45,8,1776.11,35521.82,24865.55,7104.04,3552.22,5.67,0.00
tidesdb,50,8,1961.90,39239.00,27466.80,7848.40,3923.80,5.77,0.00
tidesdb,55,8,1800.43,36010.14,25207.98,7201.31,3600.85,5.99,0.00
tidesdb,60,8,1509.57,30190.51,21132.32,6039.06,3019.13,6.55,0.00
tidesdb,65,8,1641.15,32834.71,22982.64,6569.78,3282.29,6.09,0.00
tidesdb,70,8,1656.09,33107.01,23176.87,6617.96,3312.18,6.43,0.00
tidesdb,75,8,1433.57,28673.27,20071.63,5734.49,2867.15,6.91,0.00
tidesdb,80,8,1756.23,35124.61,24587.43,7024.72,3512.46,6.55,0.00
tidesdb,85,8,1711.00,34221.82,23955.62,6844.20,3422.00,6.67,0.00
tidesdb,90,8,1531.59,30624.94,21435.42,6126.55,3062.97,7.30,0.00
tidesdb,95,8,2475.60,49514.61,34661.21,9902.00,4951.40,5.18,0.00
tidesdb,100,8,2822.02,56443.04,39510.91,11288.09,5644.04,3.82,0.00
tidesdb,105,8,2812.37,56247.17,39372.96,11249.47,5624.74,3.89,0.00
tidesdb,110,8,2809.63,56192.76,39334.99,11238.51,5619.26,3.89,0.00
tidesdb,115,8,2836.58,56730.02,39710.33,11346.52,5673.16,3.82,0.00
tidesdb,120,8,2804.41,56089.02,39262.36,11217.84,5608.82,3.89,0.00
