engine,threads,table_size,tables,duration_s,total_txn,tps,qps,lat_min_ms,lat_avg_ms,lat_max_ms,lat_95_ms,errors
rocksdb,8,5000000,4,120,40054,333.73,6674.67,8.38,23.97,48.89,31.94,0
tidesdb,8,5000000,4,120,273592,2279.89,45597.81,0.97,3.51,1300.73,5.37,0
