engine,workload,threads,table_size,iteration,time_s,tps,qps,latency_avg_ms,latency_p95_ms
InnoDB,oltp_read_write,1,1000000,1,10,499.98,10001.07,2.52,2.52
InnoDB,oltp_read_write,1,1000000,1,20,523.32,10466.49,2.52,2.52
InnoDB,oltp_read_write,1,1000000,1,30,510.05,10200.57,2.52,2.52
InnoDB,oltp_read_write,1,1000000,1,40,545.86,10917.15,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,50,528.68,10573.96,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,60,534.41,10688.27,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,70,549.84,10996.16,2.18,2.18
InnoDB,oltp_read_write,1,1000000,1,80,537.98,10759.92,2.30,2.30
InnoDB,oltp_read_write,1,1000000,1,90,544.97,10899.76,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,100,520.69,10413.40,2.39,2.39
InnoDB,oltp_read_write,1,1000000,1,110,558.64,11173.10,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,120,543.27,10864.45,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,130,546.20,10925.25,2.43,2.43
InnoDB,oltp_read_write,1,1000000,1,140,547.56,10950.91,2.48,2.48
InnoDB,oltp_read_write,1,1000000,1,150,553.04,11060.87,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,160,545.44,10908.56,2.39,2.39
InnoDB,oltp_read_write,1,1000000,1,170,553.56,11071.34,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,180,569.81,11396.22,2.30,2.30
InnoDB,oltp_read_write,1,1000000,1,190,549.20,10984.30,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,200,551.79,11035.84,2.43,2.43
InnoDB,oltp_read_write,1,1000000,1,210,554.31,11086.26,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,220,565.80,11314.37,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,230,565.27,11305.65,1.96,1.96
InnoDB,oltp_read_write,1,1000000,1,240,546.02,10921.96,2.39,2.39
InnoDB,oltp_read_write,1,1000000,1,250,551.59,11031.49,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,260,562.55,11251.25,2.30,2.30
InnoDB,oltp_read_write,1,1000000,1,270,562.55,11249.43,2.35,2.35
InnoDB,oltp_read_write,1,1000000,1,280,578.10,11563.01,1.67,1.67
InnoDB,oltp_read_write,1,1000000,1,290,586.96,11739.90,1.96,1.96
InnoDB,oltp_read_write,1,1000000,1,300,549.65,10991.50,2.39,2.39
InnoDB,oltp_point_select,1,1000000,1,10,21344.52,21344.52,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,20,20074.32,20074.32,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,30,19316.79,19316.79,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,40,19702.54,19702.54,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,50,19823.58,19823.58,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,60,19013.30,19013.30,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,70,19158.32,19158.32,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,80,19183.76,19183.76,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,90,19321.21,19321.21,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,100,19437.74,19437.74,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,110,19398.58,19398.58,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,120,19816.10,19816.10,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,130,19435.76,19435.76,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,140,19224.73,19224.73,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,150,19701.89,19701.89,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,160,19344.82,19344.82,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,170,18970.76,18970.76,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,180,19117.09,19117.09,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,190,19294.35,19294.35,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,200,19715.78,19715.78,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,210,19452.23,19452.23,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,220,19074.38,19074.38,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,230,19789.13,19789.13,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,240,19348.76,19348.76,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,250,18922.88,18922.88,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,260,19198.36,19198.36,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,270,19557.85,19557.85,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,280,19177.57,19177.57,0.05,0.05
InnoDB,oltp_point_select,1,1000000,1,290,19410.33,19410.33,0.05,0.05
InnoDB,oltp_insert,1,1000000,1,10,11499.41,11499.41,0.11,0.11
InnoDB,oltp_insert,1,1000000,1,20,11823.56,11823.56,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,30,12256.58,12256.58,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,40,12747.62,12747.62,0.09,0.09
InnoDB,oltp_insert,1,1000000,1,50,12491.75,12491.75,0.11,0.11
InnoDB,oltp_insert,1,1000000,1,60,13017.07,13017.07,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,70,13205.40,13205.40,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,80,13213.30,13213.30,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,90,13402.05,13402.05,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,100,12995.66,12995.66,0.12,0.12
InnoDB,oltp_insert,1,1000000,1,110,13688.52,13688.52,0.09,0.09
InnoDB,oltp_insert,1,1000000,1,120,13132.33,13132.33,0.09,0.09
InnoDB,oltp_insert,1,1000000,1,130,13042.05,13042.05,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,140,13275.78,13275.78,0.08,0.08
InnoDB,oltp_insert,1,1000000,1,150,12841.40,12841.40,0.11,0.11
InnoDB,oltp_insert,1,1000000,1,160,13146.30,13146.40,0.11,0.11
InnoDB,oltp_insert,1,1000000,1,170,13039.10,13039.00,0.11,0.11
InnoDB,oltp_insert,1,1000000,1,180,13166.38,13166.38,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,190,13041.97,13041.97,0.11,0.11
InnoDB,oltp_insert,1,1000000,1,200,13206.43,13206.43,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,210,13043.19,13043.19,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,220,13437.67,13437.67,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,230,13564.86,13564.86,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,240,12922.55,12922.55,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,250,12872.60,12872.60,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,260,13252.06,13252.06,0.08,0.08
InnoDB,oltp_insert,1,1000000,1,270,13072.69,13072.69,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,280,12880.61,12880.61,0.10,0.10
InnoDB,oltp_insert,1,1000000,1,290,12756.20,12756.20,0.10,0.10
InnoDB,oltp_write_only,1,1000000,1,10,1212.50,7275.39,0.55,0.55
InnoDB,oltp_write_only,1,1000000,1,20,1307.78,7846.57,0.56,0.56
InnoDB,oltp_write_only,1,1000000,1,30,1352.68,8115.91,0.58,0.58
InnoDB,oltp_write_only,1,1000000,1,40,1339.23,8035.58,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,50,1269.15,7614.72,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,60,1393.61,8361.78,0.54,0.54
InnoDB,oltp_write_only,1,1000000,1,70,1406.86,8441.04,0.58,0.58
InnoDB,oltp_write_only,1,1000000,1,80,1479.79,8878.66,0.52,0.52
InnoDB,oltp_write_only,1,1000000,1,90,1349.43,8096.79,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,100,1401.50,8409.09,0.54,0.54
InnoDB,oltp_write_only,1,1000000,1,110,1535.51,9212.86,0.52,0.52
InnoDB,oltp_write_only,1,1000000,1,120,1290.70,7744.60,0.54,0.54
InnoDB,oltp_write_only,1,1000000,1,130,1578.70,9471.82,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,140,1394.02,8364.44,0.54,0.54
InnoDB,oltp_write_only,1,1000000,1,150,1436.37,8618.30,0.58,0.58
InnoDB,oltp_write_only,1,1000000,1,160,1453.23,8719.27,0.50,0.50
InnoDB,oltp_write_only,1,1000000,1,170,1496.77,8980.32,0.55,0.55
InnoDB,oltp_write_only,1,1000000,1,180,1427.48,8565.18,0.51,0.51
InnoDB,oltp_write_only,1,1000000,1,190,1569.90,9419.37,0.52,0.52
InnoDB,oltp_write_only,1,1000000,1,200,1507.52,9044.83,0.59,0.59
InnoDB,oltp_write_only,1,1000000,1,210,1522.44,9134.95,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,220,1537.86,9227.07,0.54,0.54
InnoDB,oltp_write_only,1,1000000,1,230,1632.30,9793.68,0.55,0.55
InnoDB,oltp_write_only,1,1000000,1,240,1469.73,8818.69,0.55,0.55
InnoDB,oltp_write_only,1,1000000,1,250,1672.67,10035.60,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,260,1493.40,8960.70,0.51,0.51
InnoDB,oltp_write_only,1,1000000,1,270,1515.40,9092.10,0.53,0.53
InnoDB,oltp_write_only,1,1000000,1,280,1699.23,10195.39,0.52,0.52
InnoDB,oltp_write_only,1,1000000,1,290,1624.05,9744.27,0.50,0.50
InnoDB,oltp_write_only,1,1000000,1,300,1579.05,9474.33,0.53,0.53
InnoDB,oltp_read_write,8,1000000,1,10,1529.88,30609.59,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,20,1665.66,33309.86,3.07,3.07
InnoDB,oltp_read_write,8,1000000,1,30,1639.13,32786.35,3.07,3.07
InnoDB,oltp_read_write,8,1000000,1,40,1674.14,33482.68,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,50,1667.38,33345.00,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,60,1724.92,34500.64,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,70,1795.57,35912.21,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,80,1762.33,35246.05,2.97,2.97
InnoDB,oltp_read_write,8,1000000,1,90,1736.34,34721.35,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,100,1868.06,37366.76,2.97,2.97
InnoDB,oltp_read_write,8,1000000,1,110,1664.23,33282.84,2.91,2.91
InnoDB,oltp_read_write,8,1000000,1,120,1987.61,39753.74,2.91,2.91
InnoDB,oltp_read_write,8,1000000,1,130,1768.91,35378.20,3.02,3.02
InnoDB,oltp_read_write,8,1000000,1,140,1803.52,36066.73,2.97,2.97
InnoDB,oltp_read_write,8,1000000,1,150,1820.98,36423.53,2.91,2.91
InnoDB,oltp_read_write,8,1000000,1,160,1907.48,38149.08,2.91,2.91
InnoDB,oltp_read_write,8,1000000,1,170,1814.29,36282.67,2.97,2.97
InnoDB,oltp_read_write,8,1000000,1,180,1950.84,39019.87,2.97,2.97
