engine,time_s,threads,tps,qps,qps_read,qps_write,qps_other,lat95_ms,err_s
rocksdb,5,512,371.48,9478.99,6770.48,1853.42,855.09,3448.53,20.95
rocksdb,10,512,116.21,2681.52,1929.43,498.06,254.03,6360.91,20.20
rocksdb,15,512,5007.94,101355.04,71275.02,19977.14,10102.88,559.50,79.61
rocksdb,20,512,4274.91,87291.49,61393.82,17240.56,8657.11,759.88,105.89
rocksdb,25,512,4684.60,95635.81,67315.21,18827.80,9492.80,511.33,123.40
rocksdb,30,512,3992.91,82011.13,57791.16,16099.90,8120.08,580.02,153.84
rocksdb,35,512,163.80,4616.37,3334.77,879.59,402.00,5217.92,62.60
rocksdb,40,512,172.00,3816.83,2732.82,716.80,367.20,6135.91,21.60
rocksdb,45,512,2449.71,49210.47,34577.86,9711.56,4921.05,2159.29,15.22
rocksdb,50,512,4841.19,98443.63,69193.53,19466.54,9783.57,356.70,100.80
rocksdb,55,512,4605.99,93718.89,65861.33,18547.57,9309.99,337.94,98.40
rocksdb,60,512,4149.90,84483.88,59440.69,16648.39,8394.79,419.45,103.39
tidesdb,5,512,4680.47,95479.75,67156.30,18845.07,9478.38,530.08,15.70
tidesdb,10,512,7948.47,159578.87,111795.23,31849.09,15934.55,419.45,37.80
tidesdb,15,512,5619.20,112872.41,79075.20,22531.01,11266.20,539.71,27.60
tidesdb,20,512,8831.59,177534.05,124404.11,35411.36,17718.58,383.33,55.61
tidesdb,25,512,8073.45,162205.52,113644.25,32370.98,16190.29,411.96,43.40
tidesdb,30,512,7626.30,153130.18,107276.19,30564.80,15289.20,427.07,36.40
tidesdb,35,512,6936.19,139405.96,97676.83,27816.15,13912.98,475.79,40.80
tidesdb,40,512,6437.94,129312.63,90600.98,25801.57,12910.08,520.62,34.20
tidesdb,45,512,5976.47,120116.33,84165.93,23963.07,11987.33,549.52,34.20
tidesdb,50,512,5772.13,115968.51,81254.96,23136.50,11577.05,539.71,32.80
tidesdb,55,512,5575.20,112047.47,78501.85,22362.01,11183.61,590.56,33.60
tidesdb,60,512,5127.02,102929.38,72098.27,20557.08,10274.04,669.89,25.60
