engine,threads,table_size,tables,duration_s,total_txn,tps,qps,lat_min_ms,lat_avg_ms,lat_max_ms,lat_95_ms,errors
rocksdb,512,1000000,4,60,174618,2892.75,59065.59,1.65,176.13,13120.18,877.61,4566
tidesdb,512,1000000,4,60,393651,6512.11,130821.23,0.69,78.50,3107.86,493.24,2102
