label,bulk_ops,idx_batch,phase,seconds,peak_rss_kb
A_bulk50000,50000,50000,bulk,5.668,1086956
A_bulk250000,250000,50000,bulk,6.769,1085700
A_bulk1000000,1000000,50000,bulk,8.668,1255248
A_bulk5000000,5000000,50000,bulk,10.824,1782960
B_idx50000,50000,50000,idx,1.696,704792
B_idx250000,50000,250000,idx,3.146,907168
B_idx500000,50000,500000,idx,2.915,1087436
B_idx2000000,50000,2000000,idx,6.542,1637352
