label,bulk_ops,idx_batch,phase,seconds,peak_rss_kb
Asm_bulk5000,5000,50000,bulk,4.210,1084512
Asm_bulk10000,10000,50000,bulk,4.551,1045728
Asm_bulk25000,25000,50000,bulk,4.982,1040220
Bsm_idx5000,50000,5000,idx,1.133,669160
Bsm_idx10000,50000,10000,idx,1.410,682308
Bsm_idx25000,50000,25000,idx,1.502,679752
