label,bulk_ops,idx_batch,phase,seconds,peak_rss_kb
At_bulk500,500,50000,bulk,2.845,1073728
At_bulk1000,1000,50000,bulk,2.884,1074544
At_bulk2000,2000,50000,bulk,3.411,1059840
At_bulk5000,5000,50000,bulk,4.087,1063408
Bt_idx500,50000,500,idx,0.726,658904
Bt_idx1000,50000,1000,idx,0.848,674048
Bt_idx2000,50000,2000,idx,1.002,683264
Bt_idx5000,50000,5000,idx,1.168,660548
