engine,threads,table_size,tables,duration_s,total_txn,tps,qps,lat_min_ms,lat_avg_ms,lat_max_ms,lat_95_ms,errors
rocksdb,24,2500000,4,300,259778,865.88,17317.62,3.02,27.71,384.76,52.89,0
tidesdb,24,2500000,4,300,869874,2899.51,57990.21,1.61,8.27,3324.19,15.83,0
