engine,workload,threads,table_size,iteration,tps,qps,reads_per_sec,writes_per_sec,latency_avg_ms,latency_min_ms,latency_p95_ms,latency_max_ms,errors,reconnects,total_time_s,warmup_s,data_size_after_prepare_mb,data_size_after_run_mb
TidesDB,oltp_read_write,1,1000000,1,110670,2213400,5164.51,1475.57,2.71,1.99,2.91,21.73,0,0,300.0052,120,1631.01,1748.11
TidesDB,oltp_point_select,1,1000000,1,6303548,6303548,21011.51,0,0.05,0.03,0.05,12.32,0,0,300.0045,120,1631.01,1631.01
TidesDB,oltp_insert,1,1000000,1,4859147,4859147,0,16196.97,0.06,0.04,0.07,9.89,0,0,300.0034,120,1631.02,3188.35
TidesDB,oltp_write_only,1,1000000,1,935981,5615886,0,12479.55,0.32,0.22,0.33,58.65,0,0,300.0047,120,1631.02,2413.26
InnoDB,oltp_read_write,1,1000000,1,200422,4008440,9352.88,2672.25,1.50,1.14,1.61,53.85,0,0,300.0045,120,1964.00,2060.00
InnoDB,oltp_point_select,1,1000000,1,6767792,6767792,22558.96,0,0.04,0.03,0.05,0.48,0,0,300.0045,120,1964.00,1964.00
InnoDB,oltp_insert,1,1000000,1,4607925,4607925,0,15359.55,0.06,0.04,0.09,206.92,0,0,300.0039,120,1964.00,3532.00
InnoDB,oltp_write_only,1,1000000,1,771004,4626024,0,10279.91,0.39,0.21,0.47,209.02,0,0,300.0039,120,1964.00,2092.00
TidesDB,oltp_read_write,8,1000000,1,446907,8946063,20873.97,5963.99,5.37,2.45,13.70,99.80,417,0,300.0165,120,1631.02,2104.17
TidesDB,oltp_point_select,8,1000000,1,43965064,43965064,146548.45,0,0.05,0.04,0.06,17.95,0,0,300.0036,120,1631.01,1631.01
TidesDB,oltp_insert,8,1000000,1,29613330,29613330,0,98709.84,0.08,0.05,0.09,55.37,0,0,300.0038,120,1631.02,11395.64
TidesDB,oltp_write_only,8,1000000,1,2453421,14720661,0,32711.81,0.98,0.26,4.65,245.64,27,0,300.0076,120,1631.01,3244.30
InnoDB,oltp_read_write,8,1000000,1,886693,17733972,41378.60,11822.38,2.71,1.27,3.13,304.45,7,0,300.0053,120,1964.00,2092.00
InnoDB,oltp_point_select,8,1000000,1,43591090,43591090,145301.30,0,0.05,0.04,0.06,9.37,0,0,300.0048,120,1964.00,1964.00
InnoDB,oltp_insert,8,1000000,1,12963767,12963767,0,43210.94,0.18,0.05,0.13,302.58,0,0,300.0112,120,1964.00,6444.00
InnoDB,oltp_write_only,8,1000000,1,893301,5359806,0,11910.48,2.69,0.23,19.29,360.63,0,0,300.0049,120,1964.00,2092.00
TidesDB,oltp_read_write,16,1000000,1,686317,13753909,32094.51,9169.86,6.99,2.84,10.27,65.64,1451,0,300.0124,120,1631.02,2512.65
TidesDB,oltp_point_select,16,1000000,1,82728786,82728786,275759.58,0,0.06,0.04,0.06,25.09,0,0,300.0033,120,1631.02,1631.02
TidesDB,oltp_insert,16,1000000,1,48977336,48977336,0,163255.60,0.10,0.05,0.11,293.71,0,0,300.0040,120,1631.01,17698.40
TidesDB,oltp_write_only,16,1000000,1,3514877,21089642,0,46865.38,1.36,0.28,4.91,286.25,76,0,300.0042,120,1631.02,3541.09
InnoDB,oltp_read_write,16,1000000,1,854276,17085714,39864.71,11389.80,5.62,1.34,31.37,443.34,12,0,300.0155,120,1964.00,2092.00
InnoDB,oltp_point_select,16,1000000,1,80581812,80581812,268603.08,0,0.06,0.04,0.06,11.01,0,0,300.0033,120,1964.00,1964.00
InnoDB,oltp_insert,16,1000000,1,11236023,11236023,0,37452.32,0.43,0.05,0.17,368.10,0,0,300.0087,120,1964.00,6404.00
InnoDB,oltp_write_only,16,1000000,1,741895,4451370,0,9891.71,6.47,0.24,42.61,441.72,0,0,300.0065,120,1964.00,2124.00
TidesDB,oltp_read_write,32,1000000,1,926931,18612017,43435.09,12410.02,10.35,6.04,14.46,83.58,3863,0,300.0135,120,1631.02,2806.20
TidesDB,oltp_point_select,32,1000000,1,140189299,140189299,467289.40,0,0.07,0.04,0.07,29.53,0,0,300.0053,120,1631.01,1631.01
TidesDB,oltp_insert,32,1000000,1,59577101,59577101,0,198586.29,0.16,0.05,0.49,132.52,0,0,300.0061,120,1631.01,20083.27
TidesDB,oltp_write_only,32,1000000,1,5927203,35564513,0,79030.40,1.62,0.28,5.28,269.62,259,0,300.0092,120,1631.03,3984.73
InnoDB,oltp_read_write,32,1000000,1,629482,12590003,29369.19,8391.01,15.25,1.33,69.29,461.31,22,0,300.0782,120,1964.00,2108.00
InnoDB,oltp_point_select,32,1000000,1,137175251,137175251,457243.36,0,0.07,0.04,0.08,12.37,0,0,300.0049,120,1964.00,1964.00
InnoDB,oltp_insert,32,1000000,1,8253656,8253656,0,27499.93,1.16,0.05,0.32,576.67,0,0,300.1337,120,1964.00,5556.00
InnoDB,oltp_write_only,32,1000000,1,1318963,7913778,0,17585.20,7.28,0.23,45.79,384.25,0,0,300.0166,120,1964.00,2124.00
