engine,time_s,threads,tps,qps,qps_read,qps_write,qps_other,lat95_ms,err_s
rocksdb,5,512,316.16,8293.93,5935.47,1617.55,740.91,2362.72,16.57
rocksdb,10,512,223.62,4021.10,2974.02,572.84,474.23,5033.35,16.80
rocksdb,15,512,507.40,10363.18,7271.99,2076.40,1014.80,2159.29,0.20
rocksdb,20,512,605.41,12230.93,8530.89,2489.03,1211.01,1506.29,0.60
rocksdb,25,512,563.19,11334.86,7973.10,2229.97,1131.79,1648.20,5.00
rocksdb,30,512,647.83,13101.73,9165.37,2639.10,1297.26,1506.29,1.80
rocksdb,35,512,783.19,15915.53,11148.61,3192.74,1574.18,1376.60,7.40
rocksdb,40,512,808.85,16287.00,11396.70,3269.41,1620.90,1235.62,4.00
rocksdb,45,512,889.40,17703.91,12429.33,3491.18,1783.39,1170.65,3.80
rocksdb,50,512,800.60,15949.80,11101.80,3243.20,1604.80,1258.08,3.80
rocksdb,55,512,829.81,16847.33,11867.09,3316.82,1663.41,1170.65,4.00
rocksdb,60,512,914.41,18080.95,12701.91,3549.23,1829.82,1213.57,2.40
tidesdb,5,512,4570.58,93262.51,65599.44,18406.10,9256.96,549.52,13.98
tidesdb,10,512,6248.58,125478.13,87877.27,25070.51,12530.35,520.62,33.20
tidesdb,15,512,6971.23,140127.12,98220.36,27924.70,13982.05,467.30,39.20
tidesdb,20,512,8197.02,164743.56,115425.05,32876.27,16442.24,397.39,48.20
tidesdb,25,512,7527.43,151213.19,105943.21,30175.52,15094.46,434.83,39.60
tidesdb,30,512,7012.09,140871.18,98700.25,28108.55,14062.38,484.44,38.20
tidesdb,35,512,6599.74,132612.96,92913.52,26463.36,13236.08,511.33,36.60
tidesdb,40,512,6201.69,124585.50,87290.74,24857.57,12437.19,530.08,33.80
tidesdb,45,512,5828.97,117045.83,81996.60,23362.49,11686.74,549.52,28.80
tidesdb,50,512,5582.24,112207.25,78620.80,22389.57,11196.88,569.67,32.40
tidesdb,55,512,5284.42,106209.30,74420.61,21189.06,10599.63,623.33,30.80
tidesdb,60,512,5126.36,102990.82,72161.45,20549.04,10280.32,623.33,31.20
