engine,phase,elapsed_s,bytes,mb
rocksdb,prepare,0.0,2002079744,1909.3
rocksdb,prepare,3.0,2486964224,2371.8
rocksdb,prepare,6.0,2664706048,2541.3
rocksdb,prepare,9.0,2980909056,2842.8
rocksdb,prepare,12.1,3137855488,2992.5
rocksdb,prepare,15.1,3316736000,3163.1
rocksdb,prepare,18.1,3454717952,3294.7
rocksdb,prepare,21.1,3645415424,3476.5
rocksdb,prepare,24.2,3652706304,3483.5
rocksdb,prepare,27.2,3809652736,3633.2
rocksdb,prepare,30.2,3824103424,3646.9
rocksdb,prepare,33.2,861442048,821.5
rocksdb,prepare,36.2,922947584,880.2
rocksdb,prepare,39.3,1058926592,1009.9
rocksdb,prepare,42.3,1036484608,988.5
rocksdb,prepare,45.3,1264611328,1206.0
rocksdb,prepare,48.5,1343086592,1280.9
rocksdb,prepare,51.6,1571856384,1499.0
rocksdb,prepare,54.6,1779007488,1696.6
rocksdb,prepare,57.6,1523654656,1453.1
rocksdb,prepare,60.6,1643847680,1567.7
rocksdb,prepare,63.6,1700704256,1621.9
rocksdb,prepare,66.6,1779179520,1696.8
rocksdb,prepare,69.6,1915289600,1826.6
rocksdb,prepare,72.6,2067587072,1971.8
rocksdb,prepare,75.6,2203566080,2101.5
rocksdb,prepare,78.7,1866649600,1780.2
rocksdb,prepare,81.7,2109091840,2011.4
rocksdb,prepare,84.7,2201882624,2099.9
rocksdb,prepare,87.7,2358841344,2249.6
rocksdb,prepare,90.7,2418343936,2306.3
rocksdb,prepare,94.1,2622308352,2500.8
rocksdb,prepare,97.1,2932666368,2796.8
rocksdb,prepare,100.1,3095986176,2952.6
rocksdb,prepare,103.1,2703646720,2578.4
rocksdb,run,106.1,2876010496,2742.8
rocksdb,run,109.1,2944000000,2807.6
rocksdb,run,112.3,3147964416,3002.1
rocksdb,run,115.3,3283943424,3131.8
rocksdb,run,118.7,2731745280,2605.2
rocksdb,run,122.6,2595766272,2475.5
rocksdb,run,126.8,2595766272,2475.5
rocksdb,run,130.4,2595766272,2475.5
rocksdb,run,134.9,2595766272,2475.5
rocksdb,run,139.6,2595766272,2475.5
rocksdb,run,142.7,2595766272,2475.5
rocksdb,run,146.9,2595766272,2475.5
rocksdb,run,151.1,2677977088,2553.9
rocksdb,run,155.9,2675470336,2551.5
rocksdb,run,160.1,2675470336,2551.5
rocksdb,run,164.4,2675470336,2551.5
tidesdb,prepare,0.0,67112960,64.0
tidesdb,prepare,3.0,912564224,870.3
tidesdb,prepare,6.0,1511165952,1441.2
tidesdb,prepare,9.0,1674670080,1597.1
tidesdb,prepare,12.0,2001145856,1908.4
tidesdb,run,15.3,1424740352,1358.7
tidesdb,run,19.0,1569419264,1496.7
tidesdb,run,22.0,1878368256,1791.4
tidesdb,run,25.1,2232160256,2128.8
tidesdb,run,28.1,1833775104,1748.8
tidesdb,run,31.1,1469652992,1401.6
tidesdb,run,34.1,1469652992,1401.6
tidesdb,run,37.1,1536761856,1465.6
tidesdb,run,40.2,1536761856,1465.6
tidesdb,run,43.2,1536761856,1465.6
tidesdb,run,46.3,1536761856,1465.6
tidesdb,run,49.3,1603870720,1529.6
tidesdb,run,52.3,1603870720,1529.6
tidesdb,run,55.3,1603870720,1529.6
tidesdb,run,58.4,1603874816,1529.6
tidesdb,run,61.4,1670983680,1593.6
tidesdb,run,64.4,1670983680,1593.6
tidesdb,run,67.5,1670983680,1593.6
tidesdb,run,70.5,1670983680,1593.6
tidesdb,run,73.6,1670983680,1593.6
