engine,time_s,threads,tps,qps,qps_read,qps_write,qps_other,lat95_ms,err_s
rocksdb,5,8,306.10,6133.53,4295.35,1224.39,613.79,34.33,0.00
rocksdb,10,8,312.43,6251.36,4376.60,1249.91,624.86,33.72,0.00
rocksdb,15,8,321.79,6439.50,4508.53,1287.38,643.59,33.12,0.00
rocksdb,20,8,309.61,6189.90,4332.67,1238.02,619.21,34.33,0.00
rocksdb,25,8,302.99,6059.43,4240.28,1213.17,605.98,34.95,0.00
rocksdb,30,8,318.20,6369.67,4461.45,1271.81,636.41,33.12,0.00
rocksdb,35,8,311.20,6220.30,4352.87,1245.02,622.41,33.72,0.00
rocksdb,40,8,321.40,6428.38,4500.39,1285.20,642.80,33.72,0.00
rocksdb,45,8,318.80,6378.44,4464.42,1276.41,637.60,33.72,0.00
rocksdb,50,8,291.39,5827.65,4080.49,1164.37,582.78,36.24,0.00
rocksdb,55,8,289.80,5797.27,4057.45,1160.21,579.61,36.89,0.00
rocksdb,60,8,295.40,5907.13,4134.95,1181.39,590.79,36.24,0.00
rocksdb,65,8,302.21,6042.34,4229.30,1208.63,604.41,35.59,0.00
rocksdb,70,8,304.00,6078.41,4255.01,1215.40,608.00,34.95,0.00
rocksdb,75,8,301.59,6031.84,4221.88,1206.77,603.18,34.95,0.00
rocksdb,80,8,300.00,6001.40,4201.80,1199.60,600.00,35.59,0.00
rocksdb,85,8,305.40,6107.67,4275.05,1221.81,610.81,34.95,0.00
rocksdb,90,8,312.40,6248.37,4374.18,1249.39,624.80,33.72,0.00
rocksdb,95,8,311.40,6224.83,4356.42,1245.61,622.80,33.72,0.00
rocksdb,100,8,310.61,6214.50,4350.67,1242.62,621.21,34.33,0.00
rocksdb,105,8,311.19,6225.27,4358.11,1244.77,622.39,34.33,0.00
rocksdb,110,8,309.00,6184.94,4329.96,1236.99,617.99,33.72,0.00
rocksdb,115,8,303.80,6071.47,4249.45,1214.41,607.61,34.95,0.00
rocksdb,120,8,307.60,6151.22,4306.01,1230.00,615.20,34.95,0.00
tidesdb,5,8,1589.55,31805.82,22265.91,6359.20,3180.70,4.18,0.00
tidesdb,10,8,1949.89,38996.67,27298.31,7798.57,3899.79,4.74,0.00
tidesdb,15,8,1481.80,29635.80,20745.00,5927.20,2963.60,5.28,0.00
tidesdb,20,8,1433.19,28666.88,20067.31,5733.18,2866.39,5.37,0.00
tidesdb,25,8,1506.41,30129.08,21090.99,6025.26,3012.83,5.67,0.00
tidesdb,30,8,1444.39,28888.01,20220.67,5778.56,2888.78,5.57,0.00
tidesdb,35,8,1343.82,26872.56,18810.65,5374.27,2687.64,5.88,0.00
tidesdb,40,8,1523.58,30475.93,21334.07,6094.71,3047.15,5.99,0.00
tidesdb,45,8,1425.20,28501.46,19950.64,5700.41,2850.41,5.99,0.00
tidesdb,50,8,1385.00,27701.06,19390.64,5540.41,2770.01,5.99,0.00
tidesdb,55,8,1276.20,25526.32,17869.54,5104.38,2552.39,6.32,0.00
tidesdb,60,8,1359.60,27188.81,19030.81,5438.80,2719.20,6.55,0.00
tidesdb,65,8,1174.40,23498.33,16447.75,4701.79,2348.79,6.55,0.00
tidesdb,70,8,1479.60,29583.68,20710.66,5913.82,2959.21,6.21,0.00
tidesdb,75,8,2032.81,40657.58,28460.53,8131.44,4065.62,4.33,0.00
tidesdb,80,8,2136.40,42725.91,29907.74,8545.38,4272.79,4.33,0.00
tidesdb,85,8,2112.02,42238.69,29565.95,8448.70,4224.05,4.25,0.00
tidesdb,90,8,2121.97,42443.03,29710.60,8488.49,4243.94,4.49,0.00
tidesdb,95,8,2018.58,40365.98,28255.50,8073.32,4037.16,4.57,0.00
tidesdb,100,8,2014.00,40283.87,28200.05,8055.81,4028.01,4.65,0.00
tidesdb,105,8,1954.15,39087.23,27361.92,7817.01,3908.30,4.91,0.00
tidesdb,110,8,2215.78,44312.13,31017.87,8862.71,4431.55,4.82,0.00
tidesdb,115,8,2587.20,51740.98,36217.38,10349.20,5174.40,4.18,0.00
tidesdb,120,8,2583.16,51661.91,36163.38,10332.42,5166.11,4.18,0.00
