engine,threads,table_size,tables,duration_s,total_txn,tps,qps,lat_min_ms,lat_avg_ms,lat_max_ms,lat_95_ms,errors
rocksdb,8,5000000,4,120,36900,307.46,6149.27,10.84,26.01,62.69,34.33,0
tidesdb,8,5000000,4,120,210753,1756.22,35124.49,1.33,4.55,2268.28,5.47,0
