workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
valsize	rocksdb 11.8.1	4	valuebytes	65536	del	55983	5600	3817472	6979584	15146468	79.435	0.000	9330.7	9330.7
valsize	rocksdb 11.8.1	4	valuebytes	65536	range	55785	2056192	6258688	9240576	13483758	79.435	0.000	9330.7	9330.7
valsize	rocksdb 11.8.1	4	valuebytes	262144	put	36633	268288	4227072	8224768	14734680	89.377	0.000	2048.0	2048.0
valsize	rocksdb 11.8.1	4	valuebytes	262144	get	61528	577536	3686400	6127616	12457478	89.377	0.000	2048.0	2048.0
valsize	rocksdb 11.8.1	4	valuebytes	262144	del	12511	9280	3260416	6586368	14225958	89.377	0.000	2048.0	2048.0
valsize	rocksdb 11.8.1	4	valuebytes	262144	range	12260	10027008	26869760	34865152	45736544	89.377	0.000	2048.0	2048.0
valsize	rocksdb 11.8.1	8	valuebytes	256	put	7261620	6752	13376	17792	8150368	75.141	0.000	403181.0	403181.0
valsize	rocksdb 11.8.1	8	valuebytes	256	get	12094723	1624	4192	6368	4011382	75.141	0.000	403181.0	403181.0
valsize	rocksdb 11.8.1	8	valuebytes	256	del	2418990	6240	12864	17024	7053263	75.141	0.000	403181.0	403181.0
valsize	rocksdb 11.8.1	8	valuebytes	256	range	2417148	111104	407552	468992	7598084	75.141	0.000	403181.0	403181.0
valsize	rocksdb 11.8.1	8	valuebytes	4096	put	2220769	11968	43776	4292608	9522520	75.381	0.000	123259.3	123259.3
valsize	rocksdb 11.8.1	8	valuebytes	4096	get	3696194	6304	26240	33024	7096205	75.381	0.000	123259.3	123259.3
valsize	rocksdb 11.8.1	8	valuebytes	4096	del	739972	6240	36096	4292608	8888572	75.381	0.000	123259.3	123259.3
valsize	rocksdb 11.8.1	8	valuebytes	4096	range	739167	428032	659456	1499136	9125475	75.381	0.000	123259.3	123259.3
valsize	rocksdb 11.8.1	8	valuebytes	65536	put	167211	86528	4112384	8585216	15507187	79.407	0.000	9294.1	9294.1
valsize	rocksdb 11.8.1	8	valuebytes	65536	get	278378	288768	659456	4145152	12820902	79.407	0.000	9294.1	9294.1
valsize	rocksdb 11.8.1	8	valuebytes	65536	del	56161	8640	3719168	7438336	13884259	79.407	0.000	9294.1	9294.1
valsize	rocksdb 11.8.1	8	valuebytes	65536	range	55966	4751360	12255232	18481152	35845500	79.407	0.000	9294.1	9294.1
valsize	rocksdb 11.8.1	8	valuebytes	262144	put	37650	325632	87556096	139460608	188055700	89.153	0.000	2100.6	2100.6
valsize	rocksdb 11.8.1	8	valuebytes	262144	get	63076	1449984	5144576	8847360	14349523	89.153	0.000	2100.6	2100.6
valsize	rocksdb 11.8.1	8	valuebytes	262144	del	12612	13760	61603840	93847552	137138304	89.153	0.000	2100.6	2100.6
valsize	rocksdb 11.8.1	8	valuebytes	262144	range	12731	16187392	42729472	55312384	66098221	89.153	0.000	2100.6	2100.6
valsize	rocksdb 11.8.1	16	valuebytes	256	put	4836580	7968	1171456	3817472	9945253	75.171	0.000	268581.6	268581.6
valsize	rocksdb 11.8.1	16	valuebytes	256	get	8058596	1528	4576	24704	9211297	75.171	0.000	268581.6	268581.6
valsize	rocksdb 11.8.1	16	valuebytes	256	del	1611124	7584	1171456	3817472	9996551	75.171	0.000	268581.6	268581.6
valsize	rocksdb 11.8.1	16	valuebytes	256	range	1610129	99840	399360	4112384	11526639	75.171	0.000	268581.6	268581.6
valsize	rocksdb 11.8.1	16	valuebytes	4096	put	1086063	456704	3194880	4882432	9897656	75.752	0.000	60320.8	60320.8
valsize	rocksdb 11.8.1	16	valuebytes	4096	get	1809942	5152	26240	370688	7172471	75.752	0.000	60320.8	60320.8
valsize	rocksdb 11.8.1	16	valuebytes	4096	del	362017	452608	3194880	4882432	9185664	75.752	0.000	60320.8	60320.8
valsize	rocksdb 11.8.1	16	valuebytes	4096	range	361578	309248	585728	1728512	7774761	75.752	0.000	60320.8	60320.8
valsize	rocksdb 11.8.1	16	valuebytes	65536	put	144257	4292608	11862016	15663104	24233269	80.139	0.000	8035.1	8035.1
valsize	rocksdb 11.8.1	16	valuebytes	65536	get	240793	83456	250880	3850240	15541474	80.139	0.000	8035.1	8035.1
valsize	rocksdb 11.8.1	16	valuebytes	65536	del	48410	626688	6455296	9240576	15659152	80.139	0.000	8035.1	8035.1
valsize	rocksdb 11.8.1	16	valuebytes	65536	range	48754	2179072	6586368	11075584	19204680	80.139	0.000	8035.1	8035.1
valsize	rocksdb 11.8.1	16	valuebytes	262144	put	37379	2965504	187695104	235929600	291154991	89.578	0.000	2072.6	2072.6
valsize	rocksdb 11.8.1	16	valuebytes	262144	get	62446	1499136	8847360	13565952	22387807	89.578	0.000	2072.6	2072.6
valsize	rocksdb 11.8.1	16	valuebytes	262144	del	12525	1269760	87556096	93847552	139487135	89.578	0.000	2072.6	2072.6
valsize	rocksdb 11.8.1	16	valuebytes	262144	range	12394	28704768	60030976	72876032	93284388	89.578	0.000	2072.6	2072.6
